DATE,CPIAUCSL_NBD19920101
1992-01-01,100.00000
1992-02-01,100.21692
1992-03-01,100.57845
1992-04-01,100.79537
1992-05-01,101.01229
1992-06-01,101.30152
1992-07-01,101.59074
1992-08-01,101.80766
1992-09-01,102.02458
1992-10-01,102.45842
1992-11-01,102.74765
1992-12-01,102.89226
1993-01-01,103.25380
1993-02-01,103.47072
1993-03-01,103.61533
1993-04-01,103.97686
1993-05-01,104.26609
1993-06-01,104.33839
1993-07-01,104.48301
1993-08-01,104.69993
1993-09-01,104.84454
1993-10-01,105.27838
1993-11-01,105.56761
1993-12-01,105.78453
1994-01-01,105.78453
1994-02-01,106.07375
1994-03-01,106.36298
1994-04-01,106.43529
1994-05-01,106.65221
1994-06-01,106.94143
1994-07-01,107.30296
1994-08-01,107.73680
1994-09-01,107.95372
1994-10-01,108.02603
1994-11-01,108.31526
1994-12-01,108.53218
1995-01-01,108.82140
1995-02-01,109.11063
1995-03-01,109.32755
1995-04-01,109.76139
1995-05-01,109.97831
1995-06-01,110.19523
1995-07-01,110.33984
1995-08-01,110.55676
1995-09-01,110.70137
1995-10-01,110.99060
1995-11-01,111.13521
1995-12-01,111.27983
1996-01-01,111.85828
1996-02-01,112.07520
1996-03-01,112.43673
1996-04-01,112.87057
1996-05-01,113.08749
1996-06-01,113.30441
1996-07-01,113.52133
1996-08-01,113.66594
1996-09-01,114.02748
1996-10-01,114.38901
1996-11-01,114.75054
1996-12-01,115.03977
1997-01-01,115.25669
1997-02-01,115.47361
1997-03-01,115.54591
1997-04-01,115.61822
1997-05-01,115.61822
1997-06-01,115.83514
1997-07-01,115.97975
1997-08-01,116.26898
1997-09-01,116.55821
1997-10-01,116.77513
1997-11-01,116.91974
1997-12-01,116.99205
1998-01-01,117.13666
1998-02-01,117.13666
1998-03-01,117.13666
1998-04-01,117.28127
1998-05-01,117.57050
1998-06-01,117.71511
1998-07-01,118.00434
1998-08-01,118.14895
1998-09-01,118.22126
1998-10-01,118.51048
1998-11-01,118.65510
1998-12-01,118.87202
1999-01-01,119.08894
1999-02-01,119.08894
1999-03-01,119.16124
1999-04-01,119.95662
1999-05-01,120.02892
1999-06-01,120.02892
1999-07-01,120.53507
1999-08-01,120.82430
1999-09-01,121.33044
1999-10-01,121.54736
1999-11-01,121.76428
1999-12-01,122.05351
2000-01-01,122.41504
2000-02-01,122.92119
2000-03-01,123.64425
2000-04-01,123.57195
2000-05-01,123.78886
2000-06-01,124.51193
2000-07-01,124.87346
2000-08-01,124.87346
2000-09-01,125.52422
2000-10-01,125.74114
2000-11-01,125.95806
2000-12-01,126.24729
2001-01-01,126.97035
2001-02-01,127.25958
2001-03-01,127.33189
2001-04-01,127.54881
2001-05-01,128.19957
2001-06-01,128.48879
2001-07-01,128.27187
2001-08-01,128.27187
2001-09-01,128.77802
2001-10-01,128.41649
2001-11-01,128.34418
2001-12-01,128.27187
2002-01-01,128.48879
2002-02-01,128.70571
2002-03-01,129.06725
2002-04-01,129.64570
2002-05-01,129.79031
2002-06-01,129.86262
2002-07-01,130.15184
2002-08-01,130.51338
2002-09-01,130.73030
2002-10-01,131.01952
2002-11-01,131.23644
2002-12-01,131.45336
2003-01-01,132.03181
2003-02-01,132.75488
2003-03-01,132.97180
2003-04-01,132.46565
2003-05-01,132.24873
2003-06-01,132.39335
2003-07-01,132.82719
2003-08-01,133.40564
2003-09-01,133.83948
2003-10-01,133.69487
2003-11-01,133.76717
2003-12-01,134.12871
2004-01-01,134.70716
2004-02-01,134.99638
2004-03-01,135.28561
2004-04-01,135.50253
2004-05-01,136.08098
2004-06-01,136.58713
2004-07-01,136.73174
2004-08-01,136.80405
2004-09-01,137.23789
2004-10-01,137.96095
2004-11-01,138.61171
2004-12-01,138.61171
2005-01-01,138.53941
2005-02-01,139.11786
2005-03-01,139.62401
2005-04-01,140.05785
2005-05-01,139.98554
2005-06-01,140.05785
2005-07-01,140.92552
2005-08-01,141.79320
2005-09-01,143.74548
2005-10-01,143.96240
2005-11-01,143.23933
2005-12-01,143.23933
2006-01-01,144.10701
2006-02-01,144.17932
